Country,Continent,Religion,Population,Ln_Population,Labor_Force,Ln_Labor_Force,GDP,Ln_GDP,Urbanization,Literacy,Population_ Growth_Rate,Below_Poverty_Line,Median_Age,Life_Expectancy
Afghanistan,Asia,Islam,"29,835,392",17,"15,000,000",17,900,6.8,23%,28%,2.40%,36%,18,45
Albania,Europe,Islam,"2,994,667",15,"1,053,000",14,8000,9,52%,99%,0.30%,13%,30,77
Algeria,Africa,Islam,"34,994,937",17,"10,810,000",16,7300,8.9,66%,70%,1.20%,23%,28,75
Angola,Africa,Others,"13,338,541",16,"8,014,000",16,8200,9,59%,67%,2.00%,41%,18,39
Argentina,South America,Christianity,"41,769,726",18,"16,540,000",17,14700,9.6,92%,97%,1.00%,30%,31,77
Armenia,Asia,Christianity,"2,967,975",15,"1,481,000",14,5700,8.6,64%,99%,0.10%,27%,32,73
Australia,Australia,Christianity,"21,766,711",17,"11,870,000",16,41000,10.6,89%,99%,1.10%,0%,38,82
Austria,Europe,Christianity,"8,217,280",16,"3,611,000",15,40400,10.6,68%,98%,0.00%,6%,43,80
Azerbaijan,Asia,Islam,"8,372,373",16,"5,933,000",16,10900,9.3,52%,99%,0.80%,11%,29,67
Bahrain,Asia,Islam,"1,214,705",14,"654,900",13,40300,10.6,89%,87%,2.80%,0%,31,78
Bangladesh,Asia,Islam,"158,570,535",19,"73,860,000",18,1700,7.4,28%,48%,1.60%,40%,23,70
Belarus,Europe,Christianity,"9,577,552",16,"5,000,000",15,13600,9.5,75%,100%,-0.40%,27%,39,71
Belgium,Europe,Christianity,"10,431,477",16,"5,114,000",15,37800,10.5,97%,99%,0.10%,15%,42,80
Benin,Africa,Christianity,"9,325,032",16,"3,662,000",15,1500,7.3,42%,35%,2.90%,37%,17,60
Bhutan,Asia,Others,"708,427",13,"299,900",13,5500,8.6,35%,47%,1.20%,23%,25,67
Bolivia,South America,Christianity,"10,118,683",16,"4,614,000",15,4800,8.5,67%,87%,1.70%,30%,23,68
Bosnia and Herzegovina,Europe,Islam,"4,622,163",15,"2,600,000",15,6600,8.8,49%,97%,0.00%,19%,41,79
Botswana,Africa,Christianity,"2,065,398",15,"1,225,000",14,14000,9.5,61%,81%,1.70%,30%,22,58
Brazil ,South America,Christianity,"203,429,773",19,"102,200,000",18,10800,9.3,87%,89%,1.10%,26%,29,73
Bulgaria,Europe,Christianity,"7,093,635",16,"2,499,000",15,13500,9.5,71%,98%,-0.80%,22%,42,74
Burkina Faso,Africa,Islam,"16,751,455",17,"6,668,000",16,1200,7.1,26%,22%,3.10%,46%,17,54
Burma,Asia,Others,"53,999,804",18,"31,680,000",17,1400,7.2,34%,90%,1.10%,33%,27,65
Burundi,Africa,Christianity,"10,216,190",16,"4,245,000",15,300,5.7,11%,59%,3.50%,68%,17,59
Cambodia,Asia,Others,"14,701,717",17,"8,800,000",16,2100,7.6,20%,74%,1.70%,31%,23,63
Cameroon,Africa,Others,"19,711,291",17,"7,836,000",16,2300,7.7,58%,68%,2.10%,48%,19,54
Canada,North America,Christianity,"34,030,589",17,"18,530,000",17,39400,10.6,81%,99%,0.80%,9%,41,81
Cape Verde,Africa,Christianity,"516,100",13,"196,100",12,3800,8.2,61%,77%,1.40%,30%,23,71
Central African Republic,Africa,Others,"4,950,027",15,"1,926,000",14,700,6.6,39%,49%,2.10%,64%,19,50
Chad,Africa,Islam,"10,758,945",16,"4,293,000",15,1600,7.4,28%,26%,2.00%,80%,17,48
Chile,South America,Christianity,"16,888,760",17,"7,918,000",16,15400,9.6,89%,96%,0.80%,12%,32,78
China,Asia,Others,"1,336,718,015",21,"815,300,000",21,7600,8.9,47%,92%,0.50%,3%,36,75
Colombia,South America,Christianity,"44,725,543",18,"21,780,000",17,9800,9.2,75%,90%,1.20%,46%,28,75
