Population,Ln_Population,Labor_Force,Ln_Labor_Force,GDP,Ln_GDP,Urbanization,Literacy,Population_ Growth_Rate,Below_Poverty_Line,Median_Age,Life_Expectancy
29835392,17,15000000,17,900,7,23%,28%,2%,36%,18,45
2994667,15,1053000,14,8000,9,52%,99%,0%,13%,30,77
34994937,17,10810000,16,7300,9,66%,70%,1%,23%,28,75
13338541,16,8014000,16,8200,9,59%,67%,2%,41%,18,39
41769726,18,16540000,17,14700,10,92%,97%,1%,30%,31,77
2967975,15,1481000,14,5700,9,64%,99%,0%,27%,32,73
21766711,17,11870000,16,41000,11,89%,99%,1%,0%,38,82
8217280,16,3611000,15,40400,11,68%,98%,0%,6%,43,80
8372373,16,5933000,16,10900,9,52%,99%,1%,11%,29,67
1214705,14,654900,13,40300,11,89%,87%,3%,0%,31,78
158570535,19,73860000,18,1700,7,28%,48%,2%,40%,23,70
9577552,16,5000000,15,13600,10,75%,100%,0%,27%,39,71
10431477,16,5114000,15,37800,11,97%,99%,0%,15%,42,80
9325032,16,3662000,15,1500,7,42%,35%,3%,37%,17,60
708427,13,299900,13,5500,9,35%,47%,1%,23%,25,67
10118683,16,4614000,15,4800,8,67%,87%,2%,30%,23,68
4622163,15,2600000,15,6600,9,49%,97%,0%,19%,41,79
2065398,15,1225000,14,14000,10,61%,81%,2%,30%,22,58
203429773,19,102200000,18,10800,9,87%,89%,1%,26%,29,73
7093635,16,2499000,15,13500,10,71%,98%,-1%,22%,42,74
16751455,17,6668000,16,1200,7,26%,22%,3%,46%,17,54
53999804,18,31680000,17,1400,7,34%,90%,1%,33%,27,65
10216190,16,4245000,15,300,6,11%,59%,3%,68%,17,59
14701717,17,8800000,16,2100,8,20%,74%,2%,31%,23,63
19711291,17,7836000,16,2300,8,58%,68%,2%,48%,19,54
34030589,17,18530000,17,39400,11,81%,99%,1%,9%,41,81
516100,13,196100,12,3800,8,61%,77%,1%,30%,23,71
4950027,15,1926000,14,700,7,39%,49%,2%,64%,19,50
10758945,16,4293000,15,1600,7,28%,26%,2%,80%,17,48
16888760,17,7918000,16,15400,10,89%,96%,1%,12%,32,78
1336718015,21,815300000,21,7600,9,47%,92%,0%,3%,36,75
44725543,18,21780000,17,9800,9,75%,90%,1%,46%,28,75
794683,14,268500,13,1000,7,28%,57%,3%,60%,19,64
21504162,17,8509,9,1800,7,51%,49%,2%,42%,20,57
4483804,15,1721000,14,17400,10,58%,98%,0%,17%,41,76
10190213,16,5415000,16,25600,10,74%,99%,0%,0%,41,77
71712867,18,33680000,17,300,6,35%,67%,3%,71%,17,55
5529888,16,2852000,15,36600,11,87%,99%,0%,12%,41,79
757074,14,351700,13,2800,8,76%,68%,2%,42%,22,61
15007343,17,4645000,15,7800,9,67%,91%,1%,33%,26,76
82079636,18,26200000,17,6200,9,43%,71%,2%,20%,24,73
668225,13,195200,12,36600,11,40%,87%,3%,16%,19,62
5939484,16,1935000,14,600,6,22%,59%,2%,50%,19,63
1282963,14,686800,13,19100,10,69%,100%,-1%,20%,41,73
90873739,18,37900000,17,1000,7,17%,43%,3%,39%,17,56
5259250,15,2672000,15,35400,10,85%,100%,0%,0%,43,79
65312249,18,29320000,17,33100,10,85%,99%,1%,6%,40,81
1576665,14,714500,13,14500,10,86%,63%,2%,33%,19,52
1797860,14,777100,14,1900,8,58%,40%,2%,48%,19,64
1657155,14,339000,13,2900,8,72%,92%,3%,70%,18,74
4585874,15,1918000,14,4900,8,53%,100%,0%,31%,39,77
81471834,18,43490000,18,35700,10,74%,99%,0%,16%,45,80
24791073,17,10560000,16,2500,8,51%,58%,2%,29%,21,61
10760136,16,5013000,15,29600,10,61%,96%,0%,20%,43,80
10601009,16,4392000,15,1000,7,35%,30%,3%,47%,19,58
1596677,14,632700,13,1100,7,30%,42%,2%,49%,20,49
744768,14,333900,13,7200,9,29%,92%,0%,0%,24,67
7122508,16,3676000,15,45900,11,100%,94%,0%,0%,43,82
9976062,16,4230000,15,18800,10,68%,99%,0%,14%,40,75
1189172906,21,478300000,20,3500,8,30%,61%,1%,25%,26,67
245613043,19,116500000,19,4200,8,44%,90%,1%,13%,28,71
77891220,18,25700000,17,10600,9,71%,77%,1%,18%,27,70
30399572,17,8500000,16,3800,8,66%,74%,2%,25%,21,71
4670976,15,2140000,15,37300,11,62%,99%,1%,6%,35,80
7473052,16,3147000,15,29800,10,92%,97%,2%,24%,29,81
61016804,18,24990000,17,30500,10,68%,98%,0%,0%,44,82
126475664,19,62970000,18,34000,10,67%,99%,0%,16%,45,82
6508271,16,1719000,14,5400,9,79%,90%,1%,14%,22,80
15522373,17,8611000,16,12700,9,59%,100%,0%,8%,30,69
41070934,18,17900000,17,1600,7,22%,85%,2%,50%,19,59
2595628,15,2158000,15,48900,11,98%,93%,2%,0%,29,77
5587443,16,2344000,15,2200,8,35%,99%,1%,40%,25,70
6477211,16,3690000,15,2500,8,33%,73%,2%,26%,21,62
2204708,15,1178000,14,14700,10,68%,100%,-1%,0%,41,73
4143101,15,1481000,14,14400,10,87%,87%,0%,28%,30,75
1924886,14,854600,14,1700,7,27%,85%,0%,49%,23,52
3786764,15,1372000,14,500,6,48%,58%,3%,80%,18,57
6597960,16,1728000,14,14000,10,78%,83%,2%,15%,25,78
3535547,15,1635000,14,16000,10,67%,100%,0%,4%,40,75
503302,13,205900,12,82600,11,85%,100%,1%,0%,39,80
573003,13,330900,13,33000,10,100%,91%,1%,0%,36,84
2077328,15,938300,14,9700,9,59%,96%,0%,29%,36,75
21926221,17,9504000,16,900,7,30%,69%,3%,50%,18,64
15879252,17,5747000,16,800,7,20%,63%,3%,53%,17,52
28728607,17,11630000,16,14700,10,72%,89%,2%,4%,27,74
14159904,16,3241000,15,1200,7,36%,46%,3%,36%,16,53
3281634,15,1318000,14,2100,8,41%,51%,2%,40%,20,61
1303717,14,597300,13,14000,10,42%,84%,1%,8%,33,74
113724226,19,46990000,18,13900,10,78%,86%,1%,18%,27,76
4314377,15,1235000,14,2500,8,47%,99%,0%,26%,35,71
3133318,15,1068000,14,3600,8,62%,98%,1%,36%,26,68
31968361,17,11440000,16,4800,8,58%,52%,1%,15%,27,76
22948858,17,9871000,16,1000,7,38%,48%,2%,70%,17,52
